,portfolio,benchmark
2016-05-31,1.0036363096269443,1.0188271305023815
2016-06-01,1.0058290842413578,1.019983480711302
2016-06-02,1.0117484481592818,1.0228646390049567
2016-06-03,1.0062791567673,1.0198863084248382
2016-06-06,1.0119376512846852,1.0248809639490823
2016-06-07,1.0165354453362812,1.0262025070449916
2016-06-08,1.0210161149646153,1.0295986784569047
2016-06-09,1.0185701616626204,1.0278301428432617
2016-06-10,1.0011768935754455,1.0183995724419403
2016-06-13,0.9894539097776028,1.0101350694781854
2016-06-14,0.9815570487017397,1.0083179477213104
2016-06-15,0.9849388820685216,1.0064619570498499
2016-06-16,0.9796263144021371,1.0096151977456034
2016-06-17,0.979265497077345,1.0063259158488005
2016-06-20,0.9899778921744894,1.012170828879604
2016-06-21,0.9938337263404681,1.0149159459722095
2016-06-22,0.9923372460779005,1.013239724030707
2016-06-23,1.0082499176124775,1.0267806821494518
2016-06-24,0.9616612929632623,0.9898989408220783
2016-06-27,0.929776990011861,0.9719852298124582
2016-06-28,0.9514650227341448,0.9892576037314164
2016-06-29,0.9736091952996149,1.0061072782042568
2016-06-30,0.9867621252662065,1.0197551258381117
2016-07-01,0.9892041189406295,1.0217422990962983
2016-07-05,0.9751998455278164,1.0147458944708976
2016-07-06,0.979647831600746,1.0201778252842295
2016-07-07,0.9848416876876016,1.019288698863085
2016-07-08,1.0069703965188073,1.034836264697309
2016-07-11,1.0167262854766401,1.0383636186959484
2016-07-12,1.0339852669055907,1.0456418229520945
2016-07-13,1.0308754950581227,1.045782722767467
2016-07-14,1.0372652869094716,1.0512826741813237
2016-07-15,1.0368933871155104,1.0503060927023613
2016-07-18,1.040588975987284,1.052808279078807
2016-07-19,1.0396435372837218,1.0512972500242934
2016-07-20,1.0468718728734348,1.0557866096589255
2016-07-21,1.045850920326434,1.0519725974152174
2016-07-22,1.0511111574554668,1.0567631911378876
2016-07-25,1.0498311140697845,1.053580798756195
2016-07-26,1.0529021439605681,1.0539209017588185
2016-07-27,1.0490357349934516,1.0526576620347878
2016-07-28,1.0527681037416299,1.0543484598192598
2016-07-29,1.0562276801445873,1.0560684092896708
2016-08-01,1.0521393091162745,1.054727431736469
2016-08-02,1.0334108204876145,1.048017685356137
2016-08-03,1.0351006276658172,1.0513021086386165
2016-08-04,1.038895694965825,1.0515256048974837
2016-08-05,1.0515610628697694,1.0605723447672728
2016-08-08,1.0477905190748964,1.0596103391312803
2016-08-09,1.0469880538395662,1.060023321348752
2016-08-10,1.0442694412202278,1.056986687396755
2016-08-11,1.0509100342140032,1.061991060149646
2016-08-12,1.0499332378273922,1.0611456612574104
2016-08-15,1.0572685347936182,1.0641094159945592
2016-08-16,1.0476511054478959,1.0582790788067251
2016-08-17,1.0457562077579927,1.0602565348362654
2016-08-18,1.0485306012845284,1.062588669711399
2016-08-19,1.0478947940456393,1.0610582061995926
2016-08-22,1.0489315382248088,1.0604605966378395
2016-08-23,1.0536014328946726,1.0625303663395207
2016-08-24,1.0475363570909777,1.0569623943251392
2016-08-25,1.0498402970822445,1.0555193858711502
2016-08-26,1.0469939277062994,1.0538528811582943
2016-08-29,1.05165449299067,1.0593625498007975
2016-08-30,1.0516726667196694,1.0572927800991163
2016-08-31,1.0491103622696625,1.0547808764940243
2016-09-01,1.0527372429947128,1.0547371489651158
2016-09-02,1.054704418851507,1.0591682052278695
2016-09-06,1.0542393227364546,1.0623263045379463
2016-09-07,1.062076404064806,1.062170828879604
2016-09-08,1.0519190776540233,1.0598095423185314
2016-09-09,1.0194324324872825,1.033820814303761
2016-09-12,1.0395031870251696,1.048994266835099
2016-09-13,1.0246487964142095,1.0334369837722286
2016-09-14,1.025783634534954,1.0328296569818292
2016-09-15,1.0365753103261401,1.0432708191623754
2016-09-16,1.031213456250764,1.0393353415605873
2016-09-19,1.0346726040341632,1.0393159071032945
2016-09-20,1.029566804560033,1.039626858419979
2016-09-21,1.0395513126530023,1.0509765814789624
2016-09-22,1.0504893293878887,1.0578077932173746
2016-09-23,1.0454290457345206,1.051739383927704
2016-09-26,1.0359688396266202,1.0427072199008844
2016-09-27,1.043619933617232,1.0494266835098633
2016-09-28,1.0478038299213692,1.0549849382955985
2016-09-29,1.0383674943578949,1.0451511029054517
2016-09-30,1.0477681419516733,1.0534787678554078
2016-10-03,1.0438735955864389,1.050043727528909
2016-10-04,1.0406862516068693,1.044840151588767
2016-10-05,1.0446381253919992,1.0493295112233993
2016-10-06,1.0469477077736833,1.0498348071130117
2016-10-07,1.0376345451886881,1.0464192012438054
2016-10-10,1.043658368419975,1.051238946652415
2016-10-11,1.0239488972167405,1.038154698280051
2016-10-12,1.025884201950635,1.0393450587892337
2016-10-13,1.0217983692804349,1.0361237974929556
2016-10-14,1.0214200722898208,1.0363327179088528
2016-10-17,1.0177392264990273,1.0331843358274224
2016-10-18,1.0268332440125136,1.0395491205908076
